optimizer,norm_profile_cos_mean,norm_profile_cos_sd,opposed_norm_fraction_mean,opposed_norm_fraction_sd,aggregate_cos_mean,aggregate_cos_sd
Muon,0.978790,0.002992,0.604095,0.025563,-0.162998,0.029903
AdamW,0.976601,0.007007,0.691795,0.011465,-0.316843,0.019650
